test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_dpd_negative,flag_negative_dpd_present,flag_cmean_negative,rear_family_profile_capable,rear_damage_high_confidence,rear_direction_comment,MAKE,MODEL,YEAR,BODYD,VDI,vdi_usable,PDOF,LENCNT,DAMDST,CRHDST,DPD1,DPD2,DPD3,DPD4,DPD5,DPD6,C_profile_max_mm,C_mean_mm,C_rms_mm,A_crush_2d_mm2,C_peak_ratio,asymmetry,centroid_norm,L_norm,C_mean_norm,C_max_norm,A_crush_norm,D_offset_norm,AXBX_delta_summary,front_total_length_shortening,front_structural_delta_median,front_left_right_bumper_asymmetry,rear_total_length_shortening,speed_kph,speed_source,speed_mps,KE_proxy,VEHTWT,CURBWT,VEHLEN,VEHWID,WHLBAS,VEHCG,closingSpeed,vehicleSpeed,impactAngle,offsetDistance,IMPPNT,CRBANG,CARANG,VEHOR,BMPENGD,SILENGD,APLENGD,testConfigurationKey
1,7201,1,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,,KIA,FORTE,2011,FOUR DOOR SEDAN,12FDEW6,1,0.0,1514.0,0.0,494.0,267.0,402.0,444.0,442.0,399.0,274.0,444.0,391.5,396.6074885828557,592731.0,1.2618135376756066,-0.0005108556832695549,0.0005729151884962806,0.8626780626780627,0.08632855567805954,0.10893054024255788,0.07447375116614367,0.0,"{""a_pillar_base_asym_delta"": 2.0, ""delta_1"": 494.0, ""delta_10"": 8.0, ""delta_11"": 5.0, ""delta_12"": 3.0, ""delta_13"": 5.0, ""delta_14"": 84.0, ""delta_15"": 54.0, ""delta_16"": 5.0, ""delta_17"": 16.0, ""delta_18"": 18.0, ""delta_19"": 274.0, ""delta_2"": 142.0, ""delta_20"": 267.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -2.0, ""delta_5"": -17.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": -8.0, ""delta_9"": -9.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": -15.0, ""door_trailing_lower_asym_delta"": -3.0, ""door_trailing_upper_asym_delta"": -1.0, ""firewall_side_asym_delta"": -30.0, ""front_bumper_left_delta"": 267.0, ""front_bumper_right_delta"": 274.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 142.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 54.0, ""front_firewall_right_delta"": 84.0, ""front_left_right_asym_delta"": -7.0, ""front_left_right_bumper_asymmetry"": -7.0, ""front_structural_delta"": 142.0, ""front_structural_delta_median"": 142.0, ""front_total_length_shortening"": 494.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 494.0}",494.0,142.0,-7.0,,56.3,closingSpeed,15.638888888888888,180985.3858024691,1480.0,1302.0,4535.0,1755.0,2653.0,1091.0,56.3,56.3,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
2,7202,2,1,side,subject_vehicle,C_MaxOnly,0,0,0,0,0,,KIA,FORTE,2011,FOUR DOOR SEDAN,09LPAN3,1,285.0,2850.0,-61.0,393.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.22393162393162394,,,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 36.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": -10.0, ""delta_2"": 0.0, ""delta_20"": 119.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 119.0, ""front_bumper_right_delta"": -10.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 129.0, ""front_left_right_bumper_asymmetry"": 129.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 36.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 36.0}",36.0,0.0,129.0,,32.3,closingSpeed,8.972222222222221,55948.03626543209,1390.0,1299.0,4535.0,1755.0,2653.0,1028.0,32.3,32.3,270.0,0.0,0.0,285.0,0.0,0.0,NOT APPLICABLE,DIRECT ENGAGEMENT,NOT APPLICABLE,VTP
3,7203,3,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,,HYUNDAI,SONATA,2011,FOUR DOOR SEDAN,12FDEW6,1,0.0,1450.0,0.0,542.0,321.0,395.0,502.0,511.0,435.0,324.0,511.0,433.1,438.7216657517611,627995.0,1.2514430847379356,0.02228122835372893,0.010038354196804235,0.7962657880285557,0.08985477178423237,0.11244813278008299,0.07154828066289783,0.0,"{""a_pillar_base_asym_delta"": -8.0, ""delta_1"": 542.0, ""delta_10"": 12.0, ""delta_11"": 3.0, ""delta_12"": 29.0, ""delta_13"": 21.0, ""delta_14"": -16.0, ""delta_15"": 58.0, ""delta_16"": -47.0, ""delta_17"": -10.0, ""delta_18"": -40.0, ""delta_19"": 324.0, ""delta_2"": 273.0, ""delta_20"": 321.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -19.0, ""delta_5"": -22.0, ""delta_6"": 12.0, ""delta_7"": 7.0, ""delta_8"": -20.0, ""delta_9"": -38.0, ""door_leading_lower_asym_delta"": -5.0, ""door_leading_upper_asym_delta"": -3.0, ""door_trailing_lower_asym_delta"": -9.0, ""door_trailing_upper_asym_delta"": -18.0, ""firewall_side_asym_delta"": 74.0, ""front_bumper_left_delta"": 321.0, ""front_bumper_right_delta"": 324.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 273.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 58.0, ""front_firewall_right_delta"": -16.0, ""front_left_right_asym_delta"": -3.0, ""front_left_right_bumper_asymmetry"": -3.0, ""front_structural_delta"": 273.0, ""front_structural_delta_median"": 273.0, ""front_total_length_shortening"": 542.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 542.0}",542.0,273.0,-3.0,,56.5,closingSpeed,15.694444444444445,205673.51466049382,1670.0,1466.0,4820.0,1821.0,2796.0,1256.0,56.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
4,7204,5,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,,KIA,FORTE,2011,FOUR DOOR SEDAN,,0,297.0,3000.0,-398.0,270.0,0.0,253.0,248.0,244.0,120.0,0.0,253.0,173.0,199.7243099875426,519000.0,1.560693641618497,-0.15722543352601157,-0.06165363305124289,0.6616674018526687,0.09857549857549858,0.15384615384615385,0.06522419402878159,-0.17556241729157476,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": -5.0, ""delta_2"": 0.0, ""delta_20"": 12.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 12.0, ""front_bumper_right_delta"": -5.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 17.0, ""front_left_right_bumper_asymmetry"": 17.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 0.0}",0.0,0.0,17.0,,61.8,closingSpeed,17.166666666666664,215126.94444444438,1460.0,1300.0,4534.0,1755.0,2650.0,1114.0,61.8,0.0,270.0,0.0,-101.0,0.0,0.0,0.0,UNKNOWN,DIRECT ENGAGEMENT,DIRECT ENGAGEMENT,ITV
6,7259,9,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,,TOYOTA,CAMRY,2011,FOUR DOOR SEDAN,,0,297.0,2700.0,680.0,230.0,0.0,13.0,212.0,217.0,176.0,0.0,217.0,123.6,156.95731903928532,333720.0,1.86084142394822,0.2698220064724919,0.08981491582124286,0.5617977528089888,0.0679494227597581,0.12644310060472788,0.03817383301110006,0.28297960882230544,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,,62.31,closingSpeed,17.308333333333334,250896.91232638888,1675.0,1477.0,4806.0,1819.0,2774.0,1240.0,62.31,0.0,270.0,0.0,447.0,0.0,27.0,0.0,NOT APPLICABLE,DIRECT ENGAGEMENT,DIRECT ENGAGEMENT,ITV
7,7339,10,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,,FORD,FUSION HYBRID,2011,FOUR DOOR SEDAN,12FDEW6,1,0.0,1112.0,0.0,595.0,433.0,506.0,536.0,528.0,495.0,423.0,536.0,498.59999999999997,500.0699951006859,554443.2,1.1933413557962296,-0.008824709185719995,-0.003240421556803751,0.6119977985690699,0.10259259259259258,0.12242798353909465,0.06278644081616012,0.0,"{""a_pillar_base_asym_delta"": -16.0, ""delta_1"": 595.0, ""delta_10"": 7.0, ""delta_11"": 14.0, ""delta_12"": 11.0, ""delta_13"": -5.0, ""delta_14"": 47.0, ""delta_15"": 108.0, ""delta_16"": 14.0, ""delta_17"": -50.0, ""delta_18"": -91.0, ""delta_19"": 423.0, ""delta_2"": 193.0, ""delta_20"": 433.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -10.0, ""delta_5"": -13.0, ""delta_6"": 8.0, ""delta_7"": 11.0, ""delta_8"": -7.0, ""delta_9"": -10.0, ""door_leading_lower_asym_delta"": 3.0, ""door_leading_upper_asym_delta"": -3.0, ""door_trailing_lower_asym_delta"": 7.0, ""door_trailing_upper_asym_delta"": -3.0, ""firewall_side_asym_delta"": 61.0, ""front_bumper_left_delta"": 433.0, ""front_bumper_right_delta"": 423.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 193.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 108.0, ""front_firewall_right_delta"": 47.0, ""front_left_right_asym_delta"": 10.0, ""front_left_right_bumper_asymmetry"": 10.0, ""front_structural_delta"": 193.0, ""front_structural_delta_median"": 193.0, ""front_total_length_shortening"": 595.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 595.0}",595.0,193.0,10.0,,56.5,closingSpeed,15.694444444444445,230305.07330246916,1870.0,1691.0,4860.0,1817.0,2730.0,1180.0,56.5,56.5,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
8,7340,11,1,side,subject_vehicle,B_ProfilePartial,0,0,0,0,0,,FORD,RANGER,2011,EXTENDED CAB PICKUP,0,0,0.0,1900.0,337.0,524.0,0.0,151.0,251.0,502.0,289.0,0.0,502.0,238.6,290.2850323389065,453340.0,2.196144174350377,0.2734702430846605,0.04089168799981876,0.3667953667953668,0.1368119266055046,0.30045871559633025,0.050181980801246855,0.1301158301158301,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,,32.12,closingSpeed,8.92222222222222,72879.33820987651,1831.0,1673.0,5180.0,1744.0,3199.0,1418.0,32.12,32.12,270.0,0.0,1181.0,285.0,0.0,0.0,NOT APPLICABLE,DIRECT ENGAGEMENT,NOT APPLICABLE,VTP
9,7341,13,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,,FORD,RANGER,2011,EXTENDED CAB PICKUP,,0,297.0,2700.0,678.0,199.0,0.0,0.0,136.0,166.0,194.0,0.0,194.0,99.2,129.37387680671858,267840.0,2.006048387096774,0.43649193548387094,0.1286026486355231,0.5211349160393747,0.05694603903559128,0.11423650975889782,0.02967656927158781,0.2617255356108859,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,,62.07,closingSpeed,17.241666666666667,284789.51652777777,1916.0,1709.0,5181.0,1742.0,3198.0,1450.0,62.07,0.0,270.0,0.0,271.0,0.0,27.0,0.0,NOT APPLICABLE,DIRECT ENGAGEMENT,DIRECT ENGAGEMENT,ITV
10,7342,14,1,frontal_barrier,subject_vehicle,A_ProfileValid,0,0,0,0,0,,TOYOTA,TUNDRA DOUBLE CAB,2011,4 DOOR PICKUP,12FDEW6,1,0.0,1583.0,0.0,480.0,350.0,432.0,480.0,474.0,455.0,380.0,480.0,441.20000000000005,443.2098825612985,698419.6000000001,1.0879419764279237,0.015185856754306405,0.009756374241321272,0.7798029556650247,0.07548331907613345,0.08212147134302823,0.058862115318975006,0.0,"{""a_pillar_base_asym_delta"": -33.0, ""delta_1"": 415.0, ""delta_10"": -33.0, ""delta_11"": -58.0, ""delta_12"": -50.0, ""delta_13"": -83.0, ""delta_14"": -20.0, ""delta_15"": -70.0, ""delta_16"": -65.0, ""delta_17"": 5.0, ""delta_18"": -35.0, ""delta_19"": 242.0, ""delta_2"": 180.0, ""delta_20"": 135.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": -45.0, ""delta_5"": -73.0, ""delta_6"": -33.0, ""delta_7"": -59.0, ""delta_8"": -50.0, ""delta_9"": -76.0, ""door_leading_lower_asym_delta"": -26.0, ""door_leading_upper_asym_delta"": -28.0, ""door_trailing_lower_asym_delta"": -25.0, ""door_trailing_upper_asym_delta"": -26.0, ""firewall_side_asym_delta"": -50.0, ""front_bumper_left_delta"": 135.0, ""front_bumper_right_delta"": 242.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 180.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": -70.0, ""front_firewall_right_delta"": -20.0, ""front_left_right_asym_delta"": -107.0, ""front_left_right_bumper_asymmetry"": -107.0, ""front_structural_delta"": 135.0, ""front_structural_delta_median"": 135.0, ""front_total_length_shortening"": 415.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 415.0}",415.0,135.0,-107.0,,56.86,closingSpeed,15.794444444444444,350123.39109567896,2807.0,2537.0,5845.0,2030.0,3710.0,1665.0,56.86,56.86,0.0,0.0,0.0,0.0,0.0,0.0,DIRECT ENGAGEMENT,NOT APPLICABLE,NOT APPLICABLE,VTB
11,7343,16,2,side_impactor,subject_vehicle,A_ProfileValid,0,0,0,0,0,,TOYOTA,TUNDRA DOUBLE CAB,2011,4 DOOR PICKUP,10LPAW3,1,297.0,3000.0,2.0,205.0,11.0,10.0,205.0,150.0,141.0,27.0,205.0,105.0,130.3311167756956,315000.0,1.9523809523809523,0.18619047619047618,0.07412491420727522,0.5147563486616334,0.05167322834645669,0.10088582677165354,0.026599122347180863,0.0006863417982155113,"{""a_pillar_base_asym_delta"": 0.0, ""delta_1"": 0.0, ""delta_10"": 0.0, ""delta_11"": 0.0, ""delta_12"": 0.0, ""delta_13"": 0.0, ""delta_14"": 0.0, ""delta_15"": 0.0, ""delta_16"": 0.0, ""delta_17"": 0.0, ""delta_18"": 0.0, ""delta_19"": 0.0, ""delta_2"": 0.0, ""delta_20"": 0.0, ""delta_21"": 0.0, ""delta_3"": null, ""delta_4"": 0.0, ""delta_5"": 0.0, ""delta_6"": 0.0, ""delta_7"": 0.0, ""delta_8"": 0.0, ""delta_9"": 0.0, ""door_leading_lower_asym_delta"": 0.0, ""door_leading_upper_asym_delta"": 0.0, ""door_trailing_lower_asym_delta"": 0.0, ""door_trailing_upper_asym_delta"": 0.0, ""firewall_side_asym_delta"": 0.0, ""front_bumper_left_delta"": 0.0, ""front_bumper_right_delta"": 0.0, ""front_engine_block_delta"": 0.0, ""front_engine_front_delta"": 0.0, ""front_firewall_center_delta"": null, ""front_firewall_left_delta"": 0.0, ""front_firewall_right_delta"": 0.0, ""front_left_right_asym_delta"": 0.0, ""front_left_right_bumper_asymmetry"": 0.0, ""front_structural_delta"": 0.0, ""front_structural_delta_median"": 0.0, ""front_total_length_shortening"": 0.0, ""rear_total_length_shortening"": null, ""total_length_shortening"": 0.0}",0.0,0.0,0.0,,62.31,closingSpeed,17.308333333333334,400386.5353125,2673.0,2418.0,5828.0,2032.0,3708.0,1709.0,62.31,0.0,270.0,0.0,364.0,0.0,27.0,90.0,NOT APPLICABLE,DIRECT ENGAGEMENT,DIRECT ENGAGEMENT,ITV
